no B-INTJ
saints I-INTJ
r B-VP
. O
buch O
might B-VP
come B-VP
back B-ADVP
n O
play I-PP
vs I-PP
seahawks I-PP
on I-PP
sunday I-PP
?? I-PP

polling O
ends B-VP
in B-PP
bihar I-PP
today I-PP
, I-PP
counting I-PP
on I-PP
november I-PP
24 I-PP
http://toi.in/ujtwya I-PP

today B-NP
has B-VP
been I-VP
a B-NP
great I-NP
day I-NP
__and__ O
it B-NP
just B-ADVP
keeps I-ADVP
getting B-VP
better B-ADJP
!!! O
thank I-PP
you I-PP
lord I-PP
! I-PP

man I-INTJ
my B-NP
twin I-PP
wanna I-PP
act I-PP
fake I-PP
today I-PP
but I-PP
its I-PP
okay I-PP
bcuz I-PP
i I-PP
still I-PP
love I-PP
you I-PP

@iians O
id I-PP
love I-PP
to I-PP
see I-PP
idwt I-PP
live I-PP
from I-PP
ces I-PP
. I-PP
and I-PP
one I-PP
day I-PP
i I-PP
hope I-PP
to I-PP
go I-PP
to I-PP
ces I-PP
myself I-PP
. I-PP

